,old_HSH 100 lb,new_HSH 100 lb,HSH 60 lb,HSH MIX,COM 100 lb,COM 20 lb,COM 60 lb,COM MIX,CAMP GAS,HSH BULK,MOTOR FUEL,COM BULK
20220102,0,,0,0,0,0,0,0,0,0,0,1177
20220103,201,,0,0,6,343,0,40,0,2728,1476.713,34810
20220104,195,,0,0,6,297,0,50,1,3731,653.154,37978
20220105,233,,0,0,6,303,0,80,0,4595,325.952,39949
20220106,177,,0,0,13,262,2,50,0,3083,318.342,32258
20220107,230,,0,0,19,313,0,65,0,2716,883.082,36023
20220108,65,,0,0,3,358,0,80,0,0,220.442,0
20220110,255,,0,20,6,379,0,130,0,2426,339.073,41148
20220111,220,,0,0,4,352,0,30,0,3274,637.787,40616
20220112,233,,0,0,10,289,0,120,0,1801,675.312,31791
20220113,221,,0,0,12,274,0,130,0,1096,1043.125,28947
20220114,205,,0,20,19,293,2,85,0,1980,852.103,34344
20220115,52,,0,0,0,335,0,115,0,0,328.664,0
20220117,237,,0,0,6,412,0,30,0,3483,1219.324,36652
20220118,236,,0,0,6,356,0,180,0,2512,751.812,39355
20220119,210,,0,0,10,267,0,70,0,3269,1069.761,35787
20220120,200,,0,0,11,314,0,90,0,4421,410.649,32223
20220121,214,,0,0,19,344,0,0,0,2363,1133.631,30854
20220122,68,,0,0,6,402,0,40,0,178,317.738,0
20220124,231,,0,0,5,563,0,50,0,1293,1070.491,62802
20220125,0,,0,0,0,0,0,0,0,200,0,0
20220126,163,,0,0,8,401,2,85,0,4261,1536.2659999999998,44004
20220127,229,,0,20,27,392,0,20,0,3823,322.054,34642
20220128,238,,0,0,22,352,0,95,1,4588,437.365,37823
20220129,61,,0,0,0,412,0,60,0,0,156.502,0
20220130,0,,0,0,0,0,0,0,0,0,0,0
20220131,264,,0,0,10,448,0,80,0,2816,901.9449999999999,45915
20220201,247,,0,0,6,391,0,138,0,3506,831.9490000000001,39251
20220202,303,,0,0,11,368,1,30,0,3666,968.208,36867
20220203,276,,1,0,12,368,1,25,0,4311,1108.81,28837
