,old_HSH 100 lb,new_HSH 100 lb,HSH 60 lb,HSH MIX,COM 100 lb,COM 20 lb,COM 60 lb,COM MIX,CAMP GAS,HSH BULK,MOTOR FUEL,COM BULK
20220102,,,,,,,,,,,,1177
20220103,201,,,,6,343,,40,,2728,1476.713,34810
20220104,195,,,,6,297,,50,1,3731,653.154,37978
20220105,233,,,,6,303,,80,,4595,325.952,39949
20220106,177,,,,13,262,2,50,,3083,318.342,32258
20220107,230,,,,19,313,,65,,2716,883.082,36023
20220108,65,,,,3,358,,80,,,220.442,
20220110,255,,,20,6,379,,130,,2426,339.073,41148
20220111,220,,,,4,352,,30,,3274,637.787,40616
20220112,233,,,,10,289,,120,,1801,675.312,31791
20220113,221,,,,12,274,,130,,1096,1043.125,28947
20220114,205,,,20,19,293,2,85,,1980,852.103,34344
20220115,52,,,,,335,,115,,,328.664,
20220117,237,,,,6,412,,30,,3483,1219.324,36652
20220118,236,,,,6,356,,180,,2512,751.812,39355
20220119,210,,,,10,267,,70,,3269,1069.761,35787
20220120,200,,,,11,314,,90,,4421,410.649,32223
20220121,214,,,,19,344,,,,2363,1133.631,30854
20220122,68,,,,6,402,,40,,178,317.738,
20220124,231,,,,5,563,,50,,1293,1070.491,62802
20220125,,,,,,,,,,200,,
20220126,163,,,,8,401,2,85,,4261,1536.266,44004
20220127,229,,,20,27,392,,20,,3823,322.054,34642
20220128,238,,,,22,352,,95,1,4588,437.365,37823
20220129,61,,,,,412,,60,,,156.502,
20220131,264,,,,10,448,,80,,2816,901.945,45915
20220201,247,,,,6,391,,138,,3506,831.949,39251
20220202,303,,,,11,368,1,30,,3666,968.208,36867
20220203,276,,1,,12,368,1,25,,4311,1108.81,28837
20220204,226,,,20,19,398,,70,,1700,1246.192,34147
20220205,57,,,,2,418,,85,,,525.741,160
20220207,190,,,40,10,428,,85,,5348,769.065,38406
20220208,226,,,,9,354,,24,,3710,713.9,36601
20220209,224,,,,18,278,,25,,1605,1038.114,41880
20220210,298,,,,13,318,2,40,,3561,618.921,33018
20220211,238,,,,12,333,,,,2565,530.449,34268
20220212,71,,,,3,379,,140,,174,414.638,
