date,1,2,3A,3B,4,5,6,Delivered,
20200104,34,38,64,54,37,5,12,176,
20200105,34,78,29,62,90,29,63,129,
20200313,136,69,63,122,138,76,34,200,
20200316,84,112,92,85,96,84,63,264,
20200317,83,187,58,84,104,112,106,262,
20200319,144,127,111,171,177,83,88,195,
20200320,194,130,150,220,228,60,80,198,
20200323,174,198,182,216,226,112,147,197,
20200324,175,264,230,235,248,150,221,262,
20200325,240,206,274,327,314,126,209,264,
20200326,221,258,232,301,282,169,250,262,
20200327,275,239,277,365,342,143,165,264,
20200330,246,305,235,349,332,178,210,264,
20200331,281,411,251,377,393,223,306,260,
20200401,341,398,309,455,484,202,299,260,
20200401,319,434,276,427,470,259,346,262,
20200402,319,434,276,427,470,259,346,262,
20200403,373,322,319,480,520,218,319,330,
20200406,330,371,272,369,486,242,355,328,
20200407,308,409,247,360,397,260,391,327,
20200408,365,336,327,390,481,223,306,328,
20200409,329,378,257,356,388,262,357,327,
20200414,361,280,296,391,438,218,236,391,
20200415,398,216,319,426,480,120,165,393,
20200416,333,290,303,412,409,172,234,390,
20200417,392,201,349,465,488,75,131,394,
20200418,279,222,295,415,377,102,175,195,
20200420,279,222,295,415,377,102,175,586,
20200421,214,272,210,287,326,130,224,390,
20200422,260,191,261,358,334,95,133,391,
20200423,156,259,223,326,245,123,185,390,
20200424,205,166,271,304,234,83,149,390,
20200428,108,231,234,219,204,116,199,390,
20200429,198,167,290,289,225,86,122,325,
20200430,194,243,263,213,223,149,179,260,
20200504,247,160,240,266,274,97,163,326,
20200505,212,238,231,176,264,141,237,325,
20200506,289,175,218,278,339,122,241,390,
20200507,260,233,201,174,258,172,301,391,
20200508,314,139,163,235,307,130,205,390,
20200511,211,186,130,191,194,170,248,585,
20200512,132,255,111,176,137,123,229,325,
20200513,199,189,137,252,215,119,139,326,
20200514,152,218,91,145,173,162,164,327,
20200515,181,116,117,171,213,44,135,390,
20200518,77,163,67,137,117,76,172,260,
20200519,52,197,44,117,112,95,202,262,
20200520,80,95,76,154,151,46,150,261,
20200522,41,124,89,121,102,64,111,265,
20200525,35,131,49,93,79,77,145,199,
20200526,31,173,55,68,47,90,161,197,
20200527,70,151,94,119,113,50,131,200,
20200528,58,139,121,92,72,82,154,196,
20200529,83,108,137,121,106,30,106,196,
20200601,38,133,88,140,70,57,135,195,
20200602,79,179,48,111,50,81,160,197,
20200603,116,147,70,171,110,50,124,196,
20200604,76,184,82,135,72,80,150,260,
20200605,97,80,92,166,102,30,104,195,
20200608,53,115,42,185,62,49,123,262,
20200609,47,150,32,88,47,71,156,261,
20200610,82,114,65,131,91,15,37,261,
20200611,35,141,12,84,52,48,81,202,
20200612,63,55,46,118,86,25,34,193,
20200615,18,79,50,64,40,43,63,134,
20200616,44,107,36,27,45,67,84,197,
20200617,71,62,66,47,70,8,41,196,
20200618,34,100,14,71,28,48,64,199,
20200619,64,25,26,94,62,26,16,191,
20200622,12,45,35,38,15,43,47,66,
20200623,47,88,19,36,54,68,69,195,
20200624,81,41,35,71,64,20,23,194,
20200625,42,68,56,31,23,51,64,180,
20200626,82,29,75,62,73,10,18,197,
20200629,45,53,29,84,36,30,35,189,
20200630,39,87,37,52,35,69,62,192,
20200701,66,44,66,99,69,30,22,197,
20200702,26,83,83,67,29,78,66,197,
20200703,67,42,100,105,75,33,20,195,
20200706,21,76,60,134,39,63,46,127,
20200707,58,111,26,98,87,78,71,195,
20200708,88,73,60,127,122,34,45,196,
20200709,48,119,96,78,79,62,79,193,
20200710,76,67,112,117,113,12,33,196,
20200713,25,96,60,133,61,32,61,192,
20200714,77,126,89,43,31,46,79,190,
20200715,115,35,106,82,73,63,38,197,
20200716,76,70,50,105,24,91,69,195,
20200717,101,28,71,127,55,35,29,196,
20200720,64,51,11,87,84,62,57,194,
20200721,29,92,52,40,49,79,85,197,
20200722,48,50,71,76,85,30,49,195,
20200723,57,86,22,35,49,61,72,190,
20200724,87,40,40,63,82,4,24,194,
20200727,37,99,57,25,48,27,59,140,
20200728,49,137,29,58,66,60,91,191,
20200729,93,110,64,86,106,10,57,197,
20200730,53,145,79,51,68,35,95,202,
20200731,80,58,97,92,115,12,49,197,
20200803,44,93,43,109,79,35,90,201,
20200804,47,139,50,78,65,55,120,187,
20200805,74,103,88,114,117,19,86,196,
20200806,39,136,105,78,88,46,114,202,
20200807,65,98,114,109,131,29,36,196,
20200810,18,127,60,153,96,60,64,191,
20200811,51,169,22,130,79,79,103,196,
20200812,88,138,53,189,143,44,61,263,
20200813,61,164,67,73,87,76,84,262,
20200814,98,57,77,120,131,22,41,197,
20200817,48,87,22,143,84,49,70,196,
20200818,79,117,48,47,61,73,88,196,
20200819,102,79,66,98,85,21,51,197,
20200820,58,110,10,124,45,55,70,186,
20200821,80,67,49,155,63,17,34,194,
20200824,77,74,71,138,85,21,49,195,
20200824,35,92,68,119,35,32,57,200,
20200825,44,143,31,92,48,57,92,188,
20200827,33,123,92,97,43,50,73,189,
20200828,56,79,113,126,88,17,35,197,
20200831,92,103,58,104,55,30,44,189,
20200901,69,157,95,66,75,65,104,194,
20200902,121,77,133,120,112,79,78,197,
20200903,80,126,80,146,74,103,128,197,
20200904,113,89,105,169,112,55,80,197,
20200907,66,118,118,129,65,72,111,262,
20200908,46,157,76,114,53,94,148,260,
20200909,58,74,120,157,98,46,99,197,
20200910,73,108,83,126,53,82,124,197,
20200911,102,68,113,159,91,26,70,197,
20200914,61,93,130,111,42,48,91,203,
20200915,51,131,83,81,56,68,111,196,
20200916,77,88,106,110,90,11,63,196,
20200917,46,146,65,138,57,44,92,203,
20200918,82,32,88,164,90,20,68,197,
20200921,35,65,109,47,107,49,96,203,
20200922,54,107,75,58,66,76,124,197,
20200923,72,76,101,101,100,25,86,197,
20200924,21,96,49,115,53,52,107,201,
20200925,48,59,80,148,89,26,30,204,
20200928,61,86,94,39,50,56,61,197,
20201001,38,144,94,60,70,76,90,197,
20201002,75,102,122,86,110,34,40,197,
20201005,53,142,71,123,78,75,76,197,
20201006,94,174,38,102,62,96,116,197,
20201007,136,138,55,141,121,59,80,197,
20201008,104,176,70,104,84,95,112,197,
20201009,136,128,86,145,122,50,65,262,
20201012,100,158,36,98,78,78,88,197,
20201013,64,190,67,54,76,106,117,197,
20201014,94,143,92,89,126,53,85,197,
20201015,55,184,40,113,84,78,111,197,
20201016,81,130,53,135,119,22,67,197,
20201019,25,148,57,88,68,48,80,196,
20201020,61,127,80,68,43,68,99,197,
20201021,90,93,101,103,78,17,48,197,
20201022,36,117,52,125,40,45,84,192,
20201023,76,78,75,144,67,6,32,197,
20201026,43,106,32,96,95,33,52,198,
20201027,47,134,43,62,62,43,82,201,
20201028,89,72,86,116,107,25,52,263,
20201029,51,119,42,94,78,44,92,201,
20201030,99,56,66,119,108,29,57,197,
20201102,63,88,87,74,72,53,99,197,
20201103,112,141,39,56,71,81,138,197,
20201104,150,129,74,112,127,42,116,197,
20201105,115,166,100,80,102,78,157,197,
20201106,149,132,117,123,120,35,111,197,
20201109,108,158,72,155,80,63,140,197,
20201110,70,200,102,126,71,89,164,262,
20201111,115,123,126,176,121,44,128,262,
20201112,75,167,74,142,88,86,156,262,
20201113,116,66,103,188,121,40,96,262,
20201116,65,97,56,141,92,68,134,263,
20201117,48,139,101,56,76,82,170,197,
20201118,113,110,117,94,115,37,123,197,
20201119,71,151,58,115,77,64,144,196,
20201120,108,99,82,138,109,10,99,196,
20201123,64,133,95,103,81,30,125,195,
20201124,35,175,50,140,69,57,164,197,
20201125,79,148,82,181,125,86,69,197,
20201126,39,202,104,147,99,102,106,196,
20201127,84,111,135,112,144,50,70,195,
20201130,46,173,102,141,111,81,93,197,
20201201,96,170,44,129,123,113,149,197,
20201202,153,165,91,212,205,104,136,198,
20201203,153,223,116,188,204,173,182,262,
20201204,196,124,139,191,184,138,147,263,
20201207,157,168,111,130,151,184,190,262,
20201208,153,228,96,122,148,224,236,262,
20201209,219,165,143,189,219,187,209,262,
20201210,184,223,109,150,183,222,248,299,
20201211,214,149,124,133,150,110,138,262,
20201214,188,207,80,114,121,150,172,263,
20201215,122,260,111,97,101,174,218,367,
20201216,148,151,148,152,164,129,121,297,
20201217,113,201,108,121,103,154,167,334,
20201218,157,98,136,151,148,76,80,300,
20201221,123,65,96,68,107,30,48,231,
20201222,74,118,59,136,92,65,90,235,
20201223,122,49,90,183,129,24,36,232,
20201228,88,50,66,108,105,12,26,233,
20201229,52,78,49,63,68,41,66,196,
20201230,79,45,71,98,71,21,13,237,
20201231,27,62,41,45,24,32,40,104,
20210106,103,53,71,133,96,56,44,196,
20210107,83,89,87,114,65,82,84,195,
20210108,147,49,121,161,98,32,36,196,
20210111,110,90,80,188,58,53,67,197,
20210112,99,133,34,171,107,77,115,198,
20210113,142,98,63,223,137,24,73,197,
20210114,98,142,83,202,94,41,99,198,
20210115,127,105,103,182,112,55,46,197,
20210118,80,124,48,199,64,60,74,197,
20210119,48,154,74,93,92,74,98,196,
20210120,91,117,107,163,125,31,49,197,
20210121,50,149,126,128,77,64,91,195,
20210122,81,103,154,157,112,7,50,202,
20210126,65,144,109,100,99,36,67,196,
20210127,107,72,148,135,154,24,32,196,
20210128,68,123,176,107,123,53,59,208,
20210129,117,83,120,152,171,39,42,197,
20210201,79,140,144,115,139,84,82,262,
20210202,59,190,115,109,119,112,116,263,
20210203,122,107,155,172,168,80,79,260,
20210204,88,156,113,151,139,103,121,195,
20210205,104,113,134,177,174,55,80,196,
20210208,69,139,155,135,134,71,107,197,
20210209,99,173,109,101,109,86,120,196,
20210210,126,144,155,176,162,45,90,262,
20210211,93,174,97,142,113,77,109,193,
20210212,121,130,122,183,132,25,61,261,
20210216,68,153,64,135,88,44,81,191,
20210217,103,73,106,174,117,59,63,263,
20210218,55,112,108,121,74,78,84,197,
20210219,108,78,130,163,108,32,52,263,
20210222,73,103,85,113,64,46,65,205,
20210223,78,135,50,103,78,61,83,205,
20210224,114,72,90,157,115,39,42,208,
20210225,100,109,45,126,96,64,71,196,
20210226,134,71,69,146,134,14,29,197,
20210301,83,102,79,94,91,28,64,206,
20210303,149,107,98,134,164,53,73,198,
20210304,123,157,112,100,119,79,105,198,
20210305,160,109,136,144,144,27,63,198,
20210308,119,154,89,173,112,57,97,198,
20210309,85,187,105,132,96,82,114,198,
20210310,129,154,135,180,143,33,85,264,
20210311,81,186,87,131,96,65,114,263,
20210312,119,91,112,161,123,12,60,264,
20210315,74,126,55,106,65,30,81,197,
20210316,36,161,87,73,28,48,108,196,
20210319,20,96,58,151,64,38,89,204,
20210319,20,96,58,151,64,38,89,204,
20210322,53,116,48,50,54,56,105,139,
20210323,49,158,50,41,53,76,132,197,
20210324,108,121,81,81,107,48,86,197,
20210325,73,154,29,107,64,79,122,197,
20210326,105,109,53,136,98,31,74,198,
20210326,105,109,53,136,98,31,74,198,
20210329,70,137,69,91,52,53,105,202,
20210330,80,179,24,73,69,86,132,262,
20210331,131,83,56,152,99,49,100,261,
20210401,94,147,64,53,68,82,147,263,
20210406,124,108,94,95,116,43,33,199,
20210407,168,90,128,142,95,44,54,198,
20210408,147,157,94,125,158,101,120,197,
20210409,196,128,126,185,187,51,81,198,
20210412,152,156,134,153,146,73,104,197,
20210413,118,203,101,197,135,96,132,197,
20210414,166,173,139,231,170,50,91,265,
20210415,134,215,86,187,123,79,128,200,
20210416,176,117,120,226,146,91,83,263,
20210419,125,138,122,103,88,107,111,263,
20210420,104,178,73,86,52,117,135,264,
20210421,147,79,113,128,99,69,114,263,
20210422,103,111,51,83,47,96,148,264,
20210423,144,61,78,112,70,41,35,197,
20210426,101,81,26,74,95,55,71,198,
20210428,68,126,65,47,69,72,97,197,
20210429,47,160,22,106,68,107,132,263,
20210430,91,78,54,162,117,51,94,198,
20210503,48,127,59,121,82,87,121,198,
20210504,72,173,60,99,62,114,162,234,
20210505,104,106,100,151,118,71,124,236,
20210506,65,141,132,83,83,100,175,233,
20210507,95,104,148,135,115,46,91,239,
20210510,48,138,91,132,72,75,112,198,
20210511,89,173,49,114,44,108,140,200,
20210512,123,141,92,149,99,63,100,198,
20210514,69,163,104,109,23,86,115,197,
20210517,36,186,61,88,49,102,125,199,
20210518,31,216,36,53,54,137,161,266,
20210519,71,172,63,104,84,90,124,198,
20210520,22,210,81,63,37,119,153,269,
20210521,53,126,94,95,57,71,97,208,
20210524,42,164,45,48,39,92,125,205,
20210525,86,143,27,64,49,75,164,234,
20210526,123,134,53,108,81,28,107,197,
20210528,108,95,85,111,79,59,68,198,
20210528,68,143,30,67,104,67,107,193,
20210601,53,187,69,47,85,89,138,263,
20210602,108,94,101,97,142,42,105,197,
20210603,77,154,52,121,104,71,145,233,
20210604,126,84,82,148,135,14,98,198,
20210607,94,122,102,113,78,40,141,264,
20210608,75,151,55,98,40,55,179,234,
20210609,116,78,90,151,93,73,69,235,
20210610,70,108,52,112,74,88,104,198,
20210611,103,67,65,147,105,26,56,198,
20210614,66,93,78,107,48,48,84,198,
20210615,29,120,40,70,92,63,103,195,
20210616,55,87,73,109,116,20,58,198,
20210617,63,118,13,60,63,36,72,204,
20210618,81,49,33,92,94,11,14,198,
20210621,34,81,46,41,40,26,34,145,
20210622,24,108,25,45,38,54,50,140,
20210623,66,63,42,83,71,27,37,198,
20210624,16,101,45,42,35,49,74,203,
20210625,45,20,82,67,64,24,32,105,
20210628,26,54,69,86,44,43,48,132,
20210629,63,72,28,46,75,48,79,132,
20210630,95,45,70,106,111,77,47,198,
20210701,60,86,98,61,75,102,74,198,
20210702,87,47,131,99,117,54,35,198,
20210705,34,83,88,105,77,74,53,197,
20210706,72,127,50,75,63,99,90,198,
20210707,113,103,87,127,113,58,63,196,
20210708,80,128,38,152,58,87,79,196,
20210709,105,77,54,171,85,31,27,198,
20210712,66,106,64,130,50,53,58,202,
20210713,53,132,38,29,73,77,78,198,
20210714,89,88,75,67,108,26,50,198,
20210715,51,113,20,82,72,56,80,204,
20210716,83,30,36,117,92,30,25,198,
20210719,39,61,46,69,38,49,38,139,
20210720,36,89,25,45,75,73,65,197,
20210721,74,48,62,82,103,20,14,198,
20210722,40,66,85,49,59,36,36,137,
20210723,84,21,103,82,80,36,20,198,
20210726,34,42,48,123,33,30,47,199,
20210727,45,77,41,89,31,8,73,132,
20210728,79,44,64,128,81,23,37,198,
20210729,31,72,73,106,33,43,68,138,
20210730,66,18,87,135,63,23,46,198,
20210802,33,58,32,90,90,32,70,132,
20210803,68,99,57,66,67,64,106,168,
20210804,113,74,89,117,125,52,53,199,
20210805,72,101,101,75,82,69,91,198,
20210806,102,56,119,99,117,12,55,192,
20210809,69,88,70,127,77,40,71,197,
20210810,50,134,100,109,50,61,107,203,
20210811,85,75,118,163,90,44,64,258,
20210812,40,112,64,122,45,71,88,198,
20210813,66,62,86,151,64,18,32,204,
20210816,52,51,37,101,42,41,50,177,
20210817,47,107,29,64,42,61,78,193,
20210818,88,68,56,97,74,13,29,198,
20210819,39,90,72,51,41,30,62,134,
20210823,22,51,45,52,84,43,44,131,
20210824,56,82,38,57,50,67,79,192,
20210825,90,53,73,106,75,19,59,195,
20210826,52,82,91,71,35,39,108,132,
20210827,79,48,116,103,69,53,70,198,
20210830,31,87,64,58,100,68,92,195,
20210831,46,131,19,93,29,88,132,198,
20210901,88,105,58,145,90,41,99,132,
20210902,47,141,68,112,136,75,129,200,
20210903,74,110,86,153,164,25,79,198,
20210906,79,131,27,105,119,52,95,198,
20210907,66,180,67,98,102,85,135,197,
20210908,107,86,93,135,142,105,105,198,
20210909,57,114,46,147,99,136,125,198,
