date,1,2,3A,3B,4,5,6,
20200104,34,,64,41,37,,,
20200105,,66,,,,,63,
20200313,66,,,68,66,,,
20200316,66,,68,65,65,,,
20200317,,132,,,,65,65,
20200319,,66,,,,65,64,
20200320,66,,,66,66,,,
20200323,66,,,66,65,,,
20200324,,131,,,,65,66,
20200325,66,,68,65,65,,,
20200326,,66,,,,65,131,
20200327,66,,66,67,65,,,
20200330,66,,66,67,65,,,
20200331,,130,,,,65,65,
20200401,65,,65,65,65,,,
20200401,,131,,,,66,65,
20200402,,131,,,,66,65,
20200403,66,,65,133,66,,,
20200406,66,,66,65,131,,,
20200407,,131,,,,65,131,
20200408,66,,67,65,130,,,
20200409,,131,,,,65,131,
20200414,,130,,,,130,131,
20200415,130,,65,68,130,,,
20200416,,130,,,,130,130,
20200417,130,,65,69,130,,,
20200418,,,65,65,65,,,
20200420,130,,130,196,130,,,
20200421,,130,,,65,65,130,
20200422,130,,65,65,131,,,
20200423,,130,,65,65,65,65,
20200424,130,,65,130,65,,,
20200428,,130,,,65,65,130,
20200429,65,,65,130,65,,,
20200430,,130,,,,65,65,
20200504,66,,65,130,65,,,
20200505,,130,65,,,65,65,
20200506,65,,65,130,130,,,
20200507,,130,65,,,65,131,
20200508,130,,65,65,130,,,
20200511,130,,130,65,130,65,65,
20200512,,130,,,,65,130,
20200513,66,,65,130,65,,,
20200514,,131,,,,131,65,
20200515,130,,65,65,130,,,
20200518,65,,65,65,65,,,
20200519,,131,,,,65,66,
20200520,65,,,66,65,,65,
20200522,35,35,65,65,65,,,
20200525,35,,35,65,64,,,
20200526,,66,,,,65,66,
20200527,35,35,,65,65,,,
20200528,,65,,,,65,66,
20200529,65,,66,,65,,,
20200601,,,65,65,65,,,
20200602,,66,,,,65,66,
20200603,65,,,66,65,,,
20200604,,130,,,,65,65,
20200605,65,,65,,65,,,
20200608,35,,35,130,62,,,
20200609,,66,,,,65,130,
20200610,65,,65,66,65,,,
20200611,,102,,,,35,65,
20200612,63,,,65,65,,,
20200615,,,35,64,35,,,
20200616,,66,,,,65,66,
20200617,65,,66,,65,,,
20200618,,100,,,,35,64,
20200619,64,,,65,62,,,
20200622,,,35,31,,,,
20200623,,65,,,,65,65,
20200624,65,,,65,64,,,
20200625,,65,,,,51,64,
20200626,66,,66,,65,,,
20200629,45,16,27,66,35,,,
20200630,,65,,,,65,62,
20200701,66,,,66,65,,,
20200702,,66,,,,65,66,
20200703,65,,65,,65,,,
20200706,,,60,67,,,,
20200707,,65,,,,65,65,
20200708,65,,,66,65,,,
20200709,,66,,,,62,65,
20200710,65,,66,,65,,,
20200713,,,,131,61,,,
20200714,,125,,,,,65,
20200715,66,,66,,65,,,
20200716,,65,,,,65,65,
20200717,66,,65,65,,,,
20200720,64,,,66,64,,,
20200721,,66,,,,65,66,
20200722,,,65,65,65,,,
20200723,,65,,,,60,65,
20200724,66,,,63,65,,,
20200727,35,,51,19,35,,,
20200728,,66,,,,60,65,
20200729,66,,,66,65,,,
20200730,,102,,,,35,65,
20200731,66,,66,,65,,,
20200803,35,,35,66,65,,,
20200804,,66,,,,55,66,
20200805,65,,,66,65,,,
20200806,,66,,,,35,101,
20200807,65,,66,,65,,,
20200810,,,60,66,65,,,
20200811,,66,,,,65,65,
20200812,66,,,132,65,,,
20200813,,131,,,,65,66,
20200814,66,,66,,65,,,
20200817,,,,131,65,,,
20200818,,66,,,,65,65,
20200819,66,,66,,65,,,
20200820,,66,,,,55,65,
20200821,66,,,65,63,,,
20200824,35,,65,65,35,,,
20200824,65,,,65,65,,,
20200825,,65,,,,57,66,
20200827,0,66,,,,57,66,
20200831,65,,,66,58,,,
20200901,,129,,,,,65,
20200902,66,,66,,65,,,
20200903,,66,,,,65,66,
20200904,66,,,66,65,,,
20200907,66,,65,66,65,,,
20200908,,130,,,,65,65,
20200909,,,66,66,65,,,
20200910,,66,,,,65,66,
20200911,66,,,66,65,,,
20200914,36,,66,66,35,,,
20200915,,66,,,,65,65,
20200916,65,,66,,65,,,
20200917,,131,,,,35,37,
20200918,65,,,132,,,,
20200921,35,,66,37,65,,,
20200922,,66,,,,65,66,
20200923,66,,66,,65,,,
20200924,,66,,,,35,100,
20200925,7,,,132,65,,,
20200928,61,,66,35,35,,,
20201001,,66,,,,65,66,
20201002,66,,66,,65,,,
20201005,,,66,66,65,,,
20201006,,66,,,,65,66,
20201007,66,,,66,65,,,
20201008,,66,,,,65,66,
20201009,66,,65,66,65,,,
20201012,66,,,66,65,,,
20201013,,66,,,,65,66,
20201014,66,,66,,65,,,
20201015,,66,,,,65,66,
20201016,66,,,66,65,,,
20201019,,65,,66,65,,,
20201020,,66,,,,65,66,
20201021,66,,66,,65,,,
20201022,,66,,,15,45,66,
20201023,66,,65,66,,,,
20201026,35,,32,66,65,,,
20201027,,101,,,,35,65,
20201028,66,,66,66,65,,,
20201029,,101,,,,35,65,
20201030,66,,,66,65,,,
20201102,,,66,66,65,,,
20201103,,66,,,,65,66,
20201104,66,,,66,65,,,
20201105,,66,,,,65,66,
20201106,66,,66,,65,,,
20201109,66,,,66,65,,,
20201110,,131,,,,65,66,
20201111,66,,65,66,65,,,
20201112,,131,,,,65,66,
20201113,66,,65,66,65,,,
20201116,65,,,133,65,,,
20201117,,66,,,,65,66,
20201118,66,,66,,65,,,
20201119,,66,,,,64,66,
20201120,65,,,66,65,,,
20201123,64,,66,,65,,,
20201124,,66,,,,,131,
20201125,66,,,66,65,,,
20201126,,66,,,,65,65,
20201127,65,,65,,65,,,
20201130,,,65,67,65,,,
20201201,,66,,,,65,66,
20201202,66,,,66,66,,,
20201203,,131,,,,65,66,
20201204,66,,66,66,65,,,
20201207,66,,65,66,65,,,
20201208,,131,,,,65,66,
20201209,66,,65,66,65,,,
20201210,,103,,,,65,131,
20201211,66,,65,66,65,,,
20201214,131,,,66,66,,,
20201215,,165,,,,65,137,
20201216,65,,66,65,101,,,
20201217,,130,,,,98,106,
20201218,67,,65,103,65,,,
20201221,100,,65,,66,,,
20201222,,100,,,,65,70,
20201223,65,,,102,65,,,
20201228,65,,37,65,66,,,
20201229,,65,,,25,40,66,
20201230,65,,39,68,65,,,
20201231,,36,,,,32,36,
20210106,65,,,65,66,,,
20210107,,65,,,,65,65,
20210108,65,,66,,65,,,
20210111,65,,66,66,,,,
20210112,,66,,,,66,66,
20210113,65,,,66,66,,,
20210114,,66,,66,,,66,
20210115,65,,66,,66,,,
20210118,65,,,132,,,,
20210119,,66,,,,65,65,
20210120,66,,,66,65,,,
20210121,,66,,,,64,65,
20210122,35,,65,66,36,,,
20210126,,100,,,,36,60,
20210127,65,,,66,65,,,
20210128,,66,70,,,36,36,
20210129,66,,,66,65,,,
20210201,65,,66,66,65,,,
20210202,,132,,,,65,66,
20210203,65,,65,65,65,,,
20210204,,65,,,,65,65,
20210205,65,,,66,65,,,
20210208,,,66,66,65,,,
20210209,,66,,,,65,65,
20210210,65,,66,66,65,,,
20210211,,66,,,,61,66,
20210212,65,,65,66,65,,,
20210216,,126,,,,,65,
20210217,66,,66,66,65,,,
20210218,,66,,,,65,66,
20210219,66,,66,66,65,,,
20210222,36,,66,66,37,,,
20210223,,102,,,,37,66,
20210224,38,,66,66,38,,,
20210225,,66,,,,64,66,
20210226,65,,,66,66,,,
20210301,37,,66,66,37,,,
20210303,66,,,66,66,,,
20210304,,66,,,,66,66,
20210305,66,,66,,66,,,
20210308,66,,,66,66,,,
20210309,,66,,,,66,66,
20210310,66,,66,66,66,,,
20210311,,132,,,,65,66,
20210312,66,,66,66,66,,,
20210315,66,,,66,65,,,
20210316,,130,,,,,66,
20210319,,,37,131,36,,,
20210319,,,37,131,36,,,
20210322,37,,16,50,36,,,
20210323,,66,,,,65,66,
20210324,66,,66,,65,,,
20210325,,65,,,,65,67,
20210326,66,,,66,66,,,
20210326,66,,,66,66,,,
20210329,35,,66,66,35,,,
20210330,,132,,,,65,65,
20210331,66,,,130,65,,,
20210401,,66,,,,65,132,
20210406,,66,,,65,35,33,
20210407,66,,66,66,,,,
20210408,,66,,,,65,66,
20210409,66,,,66,66,,,
20210412,66,,66,,65,,,
20210413,,66,,,,65,66,
20210414,65,,66,68,66,,,
20210415,,134,,,,,66,
20210416,65,,,132,66,,,
20210419,65,,66,66,66,,,
20210420,,132,,,,66,66,
20210421,65,,66,66,66,,,
20210422,,66,,,,66,132,
20210423,66,,65,66,,,,
20210426,66,,,66,66,,,
20210428,66,,65,,66,,,
20210429,,131,,,,66,66,
20210430,65,,,67,66,,,
20210503,30,,35,67,66,,,
20210504,,102,,,,66,66,
20210505,66,,,105,65,,,
20210506,,66,,,,65,102,
20210507,66,,65,43,65,,,
20210510,,,66,66,66,,,
20210511,,67,,,,66,67,
20210512,66,,,66,66,,,
20210514,65,,66,66,,,,
20210517,36,,61,66,36,,,
20210518,,133,,,,66,67,
20210519,66,,,66,66,,,
20210520,,135,,,,66,68,
20210521,37,,67,68,36,,,
